event_id,shipment_reference,status,event_timestamp
31c80297-3c07-49e0-b07d-3cc26ebbf8eb,TV-200070,created,2026-07-06T09:08:00Z
4639ff08-3a1d-4e51-8a34-50462a43b05a,TV-200061,picked_up,2026-07-06T02:06:00Z
13f85740-5a24-4e17-8b0c-9dd05631310f,TV-200176,created,2026-07-06T10:16:00Z
7561ffbc-fd06-444f-b872-7d32bdea77ff,TV-200222,picked_up,2026-07-06T06:05:00Z
0753090f-5a0a-48dc-b86a-5414c35dcdff,TV-200303,created,2026-07-04T09:47:00Z
c4ac538d-11de-465d-a50e-55f8a203de83,TV-200009,picked_up,2026-07-02T09:29:00Z
1672d15b-8de0-46ab-b493-837bf04d2aa8,TV-200259,picked_up,2026-07-04T16:17:00Z
1f689b19-a33a-4bc4-8de6-12227542340a,TV-200265,delivered,2026-07-05T21:01:00Z
26080380-6044-42d3-b568-5be16213e626,TV-200030,picked_up,2026-07-02T05:09:00Z
5d581017-87bc-40e2-97d7-711fdda1bf05,TV-200018,picked_up,2026-07-04T00:56:00Z
4e8f9614-9a8d-432a-853e-feb6320b7eea,TV-200053,picked_up,2026-07-02T20:19:00Z
3c70ad09-379c-48b5-a46e-80d3692ce796,TV-200221,in_transit,2026-07-03T12:57:00Z
163c9aa3-a6fa-4388-b9c4-2521583b25f5,TV-200189,picked_up,2026-07-06T18:10:00Z
04f3749d-b986-4dee-9663-cc9a90d702b0,TV-200108,picked_up,2026-07-02T04:40:00Z
04e06c31-0866-4102-92b4-3e8b40586253,TV-200147,picked_up,2026-07-03T05:46:00Z
074a6ad1-2e17-4654-8e47-28f565337c94,TV-200095,delivered,2026-07-05T23:26:00Z
0e2750cd-58b2-48d2-bb46-010dbdfb4d82,TV-200135,picked_up,2026-07-02T13:16:00Z
9cc54a27-95b5-4392-95f2-9aecdda17b93,TV-200278,in_transit,2026-07-05T13:43:00Z
ef70c3ce-b274-4f09-8052-8a907d50457f,TV-200137,failed,2026-07-03T11:17:00Z
0ec79b49-46cb-482c-b382-ca27516c15f7,TV-200295,picked_up,2026-07-02T07:15:00Z
b235652a-f33e-4f34-bd26-8f8a336e4bf4,TV-200236,delivered,2026-07-02T20:23:00Z
5ae91ba0-a191-4ad8-b577-fc13d9e43e16,TV-200297,picked_up,2026-07-06T11:26:00Z
3fa36ea2-51dc-4a67-955a-ec29b8524a8a,TV-200136,in_transit,2026-07-03T14:13:00Z
72ba29f1-e21a-43af-9cf3-f91d1994bf9d,TV-200032,in_transit,2026-07-07T04:07:00Z
d236c835-bbea-4f2f-b5a8-9f4f4d84f4c4,TV-200061,created,2026-07-05T23:07:00Z
0c661d8d-2df9-4a2e-af90-4e7de1eceb99,TV-200131,created,2026-07-02T02:03:00Z
f755a5f7-4f3d-42ad-a410-e5a21e84302a,TV-200259,created,2026-07-04T09:12:00Z
b8476209-849c-4723-acfa-3faf543c74cc,TV-200171,picked_up,2026-07-03T11:07:00Z
eafd28e4-2880-4200-bbb9-d3d3ac4894c4,TV-200127,in_transit,2026-07-03T03:48:00Z
